"","interval","day","average.step"
"1","0","weekday",2.25115303983228
"2","5","weekday",0.445283018867925
"3","10","weekday",0.173165618448637
"4","15","weekday",0.1979035639413
"5","20","weekday",0.0989517819706499
"6","25","weekday",1.59035639412998
"7","30","weekday",0.692662473794549
"8","35","weekday",1.13794549266247
"9","40","weekday",0
"10","45","weekday",1.79622641509434
"11","50","weekday",0.3958071278826
"12","55","weekday",0.0176100628930818
"13","100","weekday",0.420545073375262
"14","105","weekday",0.0905660377358491
"15","110","weekday",0.1979035639413
"16","115","weekday",0.445283018867925
"17","120","weekday",0
"18","125","weekday",1.45953878406709
"19","130","weekday",2.22180293501048
"20","135","weekday",0.0226415094339623
"21","140","weekday",0.222641509433962
"22","145","weekday",0.250314465408805
"23","150","weekday",0.346331236897275
"24","155","weekday",0
"25","200","weekday",0
"26","205","weekday",0
"27","210","weekday",1.39538784067086
"28","215","weekday",0
"29","220","weekday",0
"30","225","weekday",0.173165618448637
"31","230","weekday",0
"32","235","weekday",0.29685534591195
"33","240","weekday",0
"34","245","weekday",0
"35","250","weekday",2.02851153039832
"36","255","weekday",1.23689727463312
"37","300","weekday",0
"38","305","weekday",0
"39","310","weekday",0
"40","315","weekday",0
"41","320","weekday",0.0276729559748428
"42","325","weekday",0.816352201257862
"43","330","weekday",1.23857442348008
"44","335","weekday",0.522431865828092
"45","340","weekday",0.420964360587002
"46","345","weekday",0.0989517819706499
"47","350","weekday",0
"48","355","weekday",0
"49","400","weekday",0.269601677148847
"50","405","weekday",1.23689727463312
"51","410","weekday",2.23102725366876
"52","415","weekday",0
"53","420","weekday",0.445283018867925
"54","425","weekday",0.0477987421383648
"55","430","weekday",3.3706498951782
"56","435","weekday",0.221383647798742
"57","440","weekday",3.77651991614256
"58","445","weekday",0.888469601677149
"59","450","weekday",2.34842767295597
"60","455","weekday",0.726205450733753
"61","500","weekday",0
"62","505","weekday",2.05324947589099
"63","510","weekday",3.93333333333333
"64","515","weekday",2.18825995807128
"65","520","weekday",4.22054507337526
"66","525","weekday",2.70607966457023
"67","530","weekday",2.74591194968553
"68","535","weekday",7.94088050314465
"69","540","weekday",20.4025157232704
"70","545","weekday",23.6452830188679
"71","550","weekday",50.3492662473795
"72","555","weekday",56.2654088050314
"73","600","weekday",41.2876310272537
"74","605","weekday",64.5907756813417
"75","610","weekday",70.0809224318658
"76","615","weekday",77.1492662473795
"77","620","weekday",63.9283018867925
"78","625","weekday",60.032285115304
"79","630","weekday",66.4423480083857
"80","635","weekday",47.9786163522013
"81","640","weekday",55.6691823899371
"82","645","weekday",54.8670859538784
"83","650","weekday",47.0477987421384
"84","655","weekday",60.4272536687631
"85","700","weekday",50.5970649895178
"86","705","weekday",50.8280922431866
"87","710","weekday",62.0234800838574
"88","715","weekday",69.3345911949686
"89","720","weekday",63.1010482180293
"90","725","weekday",59.1085953878407
"91","730","weekday",66.2238993710692
"92","735","weekday",54.3538784067086
"93","740","weekday",62.7241090146751
"94","745","weekday",83.3840670859539
"95","750","weekday",67.735429769392
"96","755","weekday",66.5756813417191
"97","800","weekday",82.7169811320755
"98","805","weekday",71.9610062893082
"99","810","weekday",144.013417190776
"100","815","weekday",181.981551362683
"101","820","weekday",200.575681341719
"102","825","weekday",183.608385744235
"103","830","weekday",198.884696016771
"104","835","weekday",230.37819706499
"105","840","weekday",218.901048218029
"106","845","weekday",185.653249475891
"107","850","weekday",191.230607966457
"108","855","weekday",177.091404612159
"109","900","weekday",167.660377358491
"110","905","weekday",125.782809224319
"111","910","weekday",93.948427672956
"112","915","weekday",87.3039832285115
"113","920","weekday",103.540041928721
"114","925","weekday",92.4616352201258
"115","930","weekday",58.5165618448637
"116","935","weekday",35.8524109014675
"117","940","weekday",27.461215932914
"118","945","weekday",40.8561844863732
"119","950","weekday",39.1308176100629
"120","955","weekday",17.6297693920335
"121","1000","weekday",37.8754716981132
"122","1005","weekday",18.2197064989518
"123","1010","weekday",39.0775681341719
"124","1015","weekday",47.8213836477987
"125","1020","weekday",30.3454926624738
"126","1025","weekday",35.1501048218029
"127","1030","weekday",33.1266247379455
"128","1035","weekday",24.2553459119497
"129","1040","weekday",23.5153039832285
"130","1045","weekday",25.9119496855346
"131","1050","weekday",22.0348008385744
"132","1055","weekday",23.2591194968553
"133","1100","weekday",21.6922431865828
"134","1105","weekday",25.0905660377359
"135","1110","weekday",11.6872117400419
"136","1115","weekday",16.2729559748428
"137","1120","weekday",24.1836477987421
"138","1125","weekday",23.7295597484277
"139","1130","weekday",32.7689727463312
"140","1135","weekday",50.1974842767296
"141","1140","weekday",44.5605870020964
"142","1145","weekday",47.9249475890985
"143","1150","weekday",50.116142557652
"144","1155","weekday",56.1362683438155
"145","1200","weekday",55.7157232704403
"146","1205","weekday",72.8486373165618
"147","1210","weekday",83.6465408805031
"148","1215","weekday",75.2809224318658
"149","1220","weekday",48.7194968553459
"150","1225","weekday",46.822641509434
"151","1230","weekday",62.5740041928721
"152","1235","weekday",30.7442348008386
"153","1240","weekday",21.9815513626834
"154","1245","weekday",29.3203354297694
"155","1250","weekday",32.7853249475891
"156","1255","weekday",56.5932914046122
"157","1300","weekday",24.6008385744235
"158","1305","weekday",25.7404612159329
"159","1310","weekday",24.5685534591195
"160","1315","weekday",15.641928721174
"161","1320","weekday",35.6327044025157
"162","1325","weekday",44.8578616352201
"163","1330","weekday",31.7672955974843
"164","1335","weekday",23.306498951782
"165","1340","weekday",25.2394129979036
"166","1345","weekday",40.1840670859539
"167","1350","weekday",25.5761006289308
"168","1355","weekday",36.3303983228512
"169","1400","weekday",46.9228511530398
"170","1405","weekday",39.5505241090147
"171","1410","weekday",32.1224318658281
"172","1415","weekday",45.0486373165618
"173","1420","weekday",27.4851153039832
"174","1425","weekday",30.7618448637317
"175","1430","weekday",31.4909853249476
"176","1435","weekday",14.5123689727463
"177","1440","weekday",11.548427672956
"178","1445","weekday",21.9878406708595
"179","1450","weekday",41.8607966457023
"180","1455","weekday",38.2809224318658
"181","1500","weekday",30.8691823899371
"182","1505","weekday",35.0545073375262
"183","1510","weekday",29.9542976939203
"184","1515","weekday",31.9132075471698
"185","1520","weekday",39.8616352201258
"186","1525","weekday",37.3450733752621
"187","1530","weekday",42.1287211740042
"188","1535","weekday",50.9316561844864
"189","1540","weekday",90.5651991614256
"190","1545","weekday",95.8658280922432
"191","1550","weekday",93.948427672956
"192","1555","weekday",70.3060796645702
"193","1600","weekday",46.8842767295598
"194","1605","weekday",45.1953878406709
"195","1610","weekday",56.6062893081761
"196","1615","weekday",36.1337526205451
"197","1620","weekday",26.80964360587
"198","1625","weekday",29.5253668763103
"199","1630","weekday",22.5157232704403
"200","1635","weekday",21.8310272536688
"201","1640","weekday",25.8658280922432
"202","1645","weekday",31.9937106918239
"203","1650","weekday",27.6276729559748
"204","1655","weekday",32.4238993710692
"205","1700","weekday",23.5719077568134
"206","1705","weekday",44.9513626834382
"207","1710","weekday",34.1844863731656
"208","1715","weekday",48.0746331236897
"209","1720","weekday",60.1178197064989
"210","1725","weekday",72.3702306079665
"211","1730","weekday",56.1480083857442
"212","1735","weekday",65.8213836477987
"213","1740","weekday",82.8792452830189
"214","1745","weekday",59.3345911949686
"215","1750","weekday",34.5031446540881
"216","1755","weekday",37.5937106918239
"217","1800","weekday",26.6461215932914
"218","1805","weekday",46.6247379454927
"219","1810","weekday",67.2264150943396
"220","1815","weekday",82.6427672955975
"221","1820","weekday",61.3907756813417
"222","1825","weekday",73.4587002096436
"223","1830","weekday",79.2264150943396
"224","1835","weekday",81.4993710691824
"225","1840","weekday",91.7119496855346
"226","1845","weekday",115.460377358491
"227","1850","weekday",101.300209643606
"228","1855","weekday",90.5916142557652
"229","1900","weekday",87.5601677148847
"230","1905","weekday",77.2218029350105
"231","1910","weekday",62.3828092243187
"232","1915","weekday",54.3811320754717
"233","1920","weekday",37.8872117400419
"234","1925","weekday",20.5622641509434
"235","1930","weekday",29.0972746331237
"236","1935","weekday",45.9802935010482
"237","1940","weekday",30.0498951781971
"238","1945","weekday",18.5840670859539
"239","1950","weekday",44.2658280922432
"240","1955","weekday",27.2926624737946
"241","2000","weekday",13.3941299790356
"242","2005","weekday",5.558071278826
"243","2010","weekday",6.8230607966457
"244","2015","weekday",14.1119496855346
"245","2020","weekday",8.70817610062893
"246","2025","weekday",5.71153039832285
"247","2030","weekday",9.77358490566038
"248","2035","weekday",7.15639412997904
"249","2040","weekday",8.96184486373166
"250","2045","weekday",13.1094339622642
"251","2050","weekday",25.9735849056604
"252","2055","weekday",17.3090146750524
"253","2100","weekday",11.3702306079665
"254","2105","weekday",18.8968553459119
"255","2110","weekday",28.504821802935
"256","2115","weekday",18.9438155136268
"257","2120","weekday",14.2825995807128
"258","2125","weekday",8.04696016771488
"259","2130","weekday",12.7991614255765
"260","2135","weekday",16.5069182389937
"261","2140","weekday",7.13501048218029
"262","2145","weekday",7.59454926624738
"263","2150","weekday",8.26205450733753
"264","2155","weekday",3.43857442348008
"265","2200","weekday",1.52704402515723
"266","2205","weekday",4.42389937106918
"267","2210","weekday",6.30817610062893
"268","2215","weekday",11.1568134171908
"269","2220","weekday",9.27672955974843
"270","2225","weekday",10.8486373165618
"271","2230","weekday",12.7895178197065
"272","2235","weekday",2.89433962264151
"273","2240","weekday",0.0427672955974843
"274","2245","weekday",0.148427672955975
"275","2250","weekday",1.90272536687631
"276","2255","weekday",2.01383647798742
"277","2300","weekday",3.55136268343816
"278","2305","weekday",3.73542976939203
"279","2310","weekday",0
"280","2315","weekday",1.08846960167715
"281","2320","weekday",1.26163522012579
"282","2325","weekday",1.87798742138365
"283","2330","weekday",3.03605870020964
"284","2335","weekday",2.24863731656184
"285","2340","weekday",2.24025157232704
"286","2345","weekday",0.263312368972746
"287","2350","weekday",0.29685534591195
"288","2355","weekday",1.41006289308176
"289","0","weekend",0.214622641509434
"290","5","weekend",0.0424528301886792
"291","10","weekend",0.0165094339622642
"292","15","weekend",0.0188679245283019
